"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Lance Moore","DET",1.8,19.2,0.1,0.2,3.96," DET",2,24.2,0.1,4.7,"DET",2.13,20,0.18,4.13,"DET",0,0,0,2.1,26.3,0.1,"0.1",5.4,"DET","60",0,0,0,2.41,25.91,0.1,5.62
"Larry Fitzgerald","ARI",6.5,84.1,0.6,0.1,18.31," ARI",5.2,67.3,0.5,14.2,"ARI",5.2,71,0.6,18.2,"ARI",0,0,0,6.5,80.1,0.7,"0.1",18.3,"ARI","11",0,0,0,6.13,73.04,0.42,15.95
"Leonard Hankerson","ATL",3.8,44.9,0.4,0,10.71," ATL",3.5,44.5,0.3,9.2,"ATL",2.24,29,0.2,5.24,"ATL",0,0,0,4.1,56,0.5,"0.0",12.9,"ATL","30",0,0,0,3.45,56.35,0.44,11.7
"Louis Murphy","TB",2.7,36.1,0.2,0,7.55," TB ",2.8,41.2,0.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malcom Floyd","SD",2.9,52.5,0.3,0,9.9," SD ",2.8,48.1,0.4,9.2,"SD",2.61,44,0.24,6.61," SD",0,0,0,2.6,38.5,0.2,"0.0",7.5,"SD","53",0,0,0,2.32,34.43,0.24,7.16
"Markus Wheaton","PIT",2.3,32,0.2,0,6.7," PIT",2.8,39,0.2,7,"PIT",2.67,42,0.17,6.67,"PIT",0.1,0.2,0,2.1,30.7,0.1,"0.0",5.8,"PIT","47",0.01,-0.12,0,2.5,39.27,0.23,7.82
"Marlon Brown","BAL",2.4,28.1,0.1,0,5.81," BAL",2.4,31.3,0.2,6.6,"BAL",2.71,30,0.02,5.71,"BAL",0,0,0,2.6,32.5,0.1,"0.0",6.5,"BAL","57",0,0,0,2.15,27.58,0.14,5.81
"Marques Colston","NO",4.2,59.4,0.2,0,11.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"der",0,0,0,1.5,15,0,"0.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marquess Wilson","CHI",2.9,38.8,0.2,0,7.97," CHI",2.4,30.7,0.2,6.6,"CHI",4,45,0.26,9,"CHI",0,0,0,2.7,36.3,0.2,"0.0",7.4,"CHI","39",0,0,0,3.2,46.37,0.31,9.7
"Marvin Jones","CIN",2.6,39.8,0.5,0,9.58," CIN",3.3,43.1,0.3,9,"CIN",2.89,40,0.35,6.89,"CIN",0.2,1.1,0,3.6,46.7,0.2,"0.0",9.7,"CIN","41",0.15,0.82,0,3.1,44.17,0.27,9.12
