"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Nate Washington","HOU",3,42.8,14.2,0.2,0,8.49," HOU",3.3,51.3,0.3,10.1,NA,NA,NA,NA,NA,"HOU",3,54,0.11,8
"Nelson Agholor","PHI",2.4,37.2,15.6,0.2,0.1,7.1," PHI",3.1,35.2,0.2,7.4,NA,NA,NA,NA,NA,"PHI",2.84,37,0.11,6.84
"Nick Williams","ATL",0.1,0.4,7.2,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odell Beckham","NYG",7,98.4,14.1,1,0.1,22.64," NYG",6.5,86.4,0.5,17.5,NA,NA,NA,NA,NA,"NYG",7.81,113,0.86,24.81
"Percy Harvin","BUF",5,54.1,10.8,0.3,0.1,12," BUF",3.5,39.5,0.2,7.7,NA,NA,NA,NA,NA,"BUF",2.9,27,0.06,6.9
"Phillip Dorsett","IND",2.3,35.3,15.3,0.2,0.1,6.83," IND",1.5,21.7,0.2,4.6,NA,NA,NA,NA,NA,"IND",0.81,16,0.02,2.81
"Pierre Garcon","WAS",4.7,52.9,11.4,0.2,0,11.14," WSH",5,63.2,0.3,12.5,NA,NA,NA,NA,NA,"WAS",4.63,50,0.2,9.63
"Preston Parker","NYG",0,0,0,0,0,0," NYG",3,35.8,0.2,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quincy Enunwa","NYJ",2,33,16.3,0.2,0,6.53," NYJ",3.2,38.1,0.3,7.7,NA,NA,NA,NA,NA,"NYJ",3.1,42,0.32,7.1
"Quinton Patton","SF",1.6,15.9,10.3,0.1,0.1,3.54," SF ",1.6,20,0.1,3.9,NA,NA,NA,NA,NA,"SFO",1.17,10,0,2.17
